# time  ID  size  fromHost  toHost  TTL  isResponse
2794.0000 M96 50000 p6 p15 60 N 
2870.0000 M99 50000 p20 p8 60 N 
2903.0000 M100 50000 p26 p27 60 N 
2934.0000 M101 50000 p17 p3 60 N 
2960.0000 M102 50000 p23 p30 60 N 
2994.0000 M103 50000 p5 p17 60 N 
3061.0000 M105 50000 p30 p20 60 N 
3088.0000 M106 50000 p16 p8 60 N 
3180.0000 M109 50000 p22 p36 60 N 
3239.0000 M111 50000 p15 p7 60 N 
3301.0000 M113 50000 p27 p31 60 N 
3362.0000 M115 50000 p1 p5 60 N 
3426.0000 M117 50000 p8 p29 60 N 
3489.0000 M119 50000 p14 p25 60 N 
3522.0000 M120 50000 p26 p36 60 N 
3552.0000 M121 50000 p17 p29 60 N 
3585.0000 M122 50000 p29 p38 60 N 
3644.0000 M124 50000 p7 p36 60 N 
3705.0000 M126 50000 p25 p36 60 N 
3763.0000 M128 50000 p0 p35 60 N 
3905.0000 M133 50000 p27 p12 60 N 
3932.0000 M134 50000 p39 p7 60 N 
3987.0000 M136 50000 p6 p7 60 N 
4017.0000 M137 50000 p18 p36 60 N 
4046.0000 M138 50000 p2 p1 60 N 
4076.0000 M139 50000 p16 p20 60 N 
4101.0000 M140 50000 p1 p9 60 N 
4190.0000 M143 50000 p11 p35 60 N 
4222.0000 M144 50000 p19 p9 60 N 
4247.0000 M145 50000 p32 p37 60 N 
4281.0000 M146 50000 p8 p6 60 N 
4344.0000 M148 50000 p22 p33 60 N 
4374.0000 M149 50000 p33 p2 60 N 
4408.0000 M150 50000 p12 p34 60 N 
4440.0000 M151 50000 p10 p14 60 N 
4466.0000 M152 50000 p38 p9 60 N 
4493.0000 M153 50000 p5 p2 60 N 
4584.0000 M156 50000 p20 p34 60 N 
4613.0000 M157 50000 p17 p0 60 N 
4693.0000 M160 50000 p26 p16 60 N 
4744.0000 M162 50000 p37 p27 60 N 
4809.0000 M164 50000 p39 p35 60 N 
4841.0000 M165 50000 p24 p11 60 N 
4902.0000 M167 50000 p25 p10 60 N 
4933.0000 M168 50000 p2 p7 60 N 
4958.0000 M169 50000 p31 p15 60 N 
5016.0000 M171 50000 p6 p32 60 N 
5083.0000 M173 50000 p33 p6 60 N 
5114.0000 M174 50000 p30 p11 60 N 
5144.0000 M175 50000 p15 p39 60 N 
5178.0000 M176 50000 p19 p25 60 N 
5287.0000 M180 50000 p0 p21 60 N 
5349.0000 M182 50000 p21 p27 60 N 
5378.0000 M183 50000 p29 p11 60 N 
5434.0000 M185 50000 p36 p32 60 N 
5464.0000 M186 50000 p28 p16 60 N 
5491.0000 M187 50000 p24 p6 60 N 
5516.0000 M188 50000 p4 p8 60 N 
5544.0000 M189 50000 p10 p29 60 N 
5603.0000 M191 50000 p8 p25 60 N 
5666.0000 M193 50000 p3 p38 60 N 
5726.0000 M195 50000 p11 p10 60 N 
5792.0000 M197 50000 p15 p31 60 N 
5817.0000 M198 50000 p19 p15 60 N 
5847.0000 M199 50000 p18 p39 60 N 
5873.0000 M200 50000 p2 p8 60 N 
5906.0000 M201 50000 p12 p29 60 N 
5932.0000 M202 50000 p0 p28 60 N 
5995.0000 M204 50000 p21 p14 60 N 
6027.0000 M205 50000 p9 p19 60 N 
6056.0000 M206 50000 p29 p39 60 N 
6202.0000 M211 50000 p27 p17 60 N 
6236.0000 M212 50000 p14 p2 60 N 
6291.0000 M214 50000 p5 p2 60 N 
6321.0000 M215 50000 p3 p14 60 N 
6348.0000 M216 50000 p20 p21 60 N 
6433.0000 M219 50000 p39 p7 60 N 
6465.0000 M220 50000 p38 p33 60 N 
6527.0000 M222 50000 p37 p5 60 N 
6553.0000 M223 50000 p26 p36 60 N 
6583.0000 M224 50000 p18 p17 60 N 
6615.0000 M225 50000 p1 p36 60 N 
6645.0000 M226 50000 p21 p12 60 N 
6675.0000 M227 50000 p36 p38 60 N 
6736.0000 M229 50000 p6 p15 60 N 
6767.0000 M230 50000 p13 p14 60 N 
6826.0000 M232 50000 p28 p5 60 N 
6855.0000 M233 50000 p35 p21 60 N 
6885.0000 M234 50000 p34 p26 60 N 
6949.0000 M236 50000 p29 p34 60 N 
6979.0000 M237 50000 p4 p2 60 N 
7041.0000 M239 50000 p12 p16 60 N 
7100.0000 M241 50000 p19 p0 60 N 
7128.0000 M242 50000 p30 p28 60 N 
7244.0000 M246 50000 p37 p0 60 N 
7300.0000 M248 50000 p15 p26 60 N 
7362.0000 M250 50000 p26 p27 60 N 
7390.0000 M251 50000 p27 p25 60 N 
7423.0000 M252 50000 p39 p20 60 N 
7455.0000 M253 50000 p22 p25 60 N 
7483.0000 M254 50000 p23 p21 60 N 
7570.0000 M257 50000 p28 p31 60 N 
7604.0000 M258 50000 p31 p7 60 N 
7667.0000 M260 50000 p5 p2 60 N 
7722.0000 M262 50000 p34 p39 60 N 
7754.0000 M263 50000 p17 p33 60 N 
7810.0000 M265 50000 p2 p23 60 N 
7839.0000 M266 50000 p25 p1 60 N 
7866.0000 M267 50000 p13 p26 60 N 
7899.0000 M268 50000 p16 p33 60 N 
7952.0000 M270 50000 p24 p12 60 N 
7982.0000 M271 50000 p19 p6 60 N 
8009.0000 M272 50000 p21 p27 60 N 
8037.0000 M273 50000 p14 p17 60 N 
8064.0000 M274 50000 p39 p21 60 N 
8095.0000 M275 50000 p20 p6 60 N 
8120.0000 M276 50000 p35 p38 60 N 
8149.0000 M277 50000 p7 p10 60 N 
8209.0000 M279 50000 p0 p3 60 N 
8241.0000 M280 50000 p30 p6 60 N 
8300.0000 M282 50000 p5 p35 60 N 
8333.0000 M283 50000 p6 p36 60 N 
8422.0000 M286 50000 p36 p2 60 N 
8453.0000 M287 50000 p22 p33 60 N 
8486.0000 M288 50000 p3 p31 60 N 
8520.0000 M289 50000 p28 p13 60 N 
8608.0000 M292 50000 p18 p23 60 N 
8668.0000 M294 50000 p24 p36 60 N 
8698.0000 M295 50000 p32 p24 60 N 
8731.0000 M296 50000 p13 p19 60 N 
8756.0000 M297 50000 p7 p12 60 N 
8781.0000 M298 50000 p19 p0 60 N 
8865.0000 M301 50000 p17 p9 60 N 
8917.0000 M303 50000 p39 p27 60 N 
8950.0000 M304 50000 p14 p8 60 N 
