# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 50000 p34 p38 60 N 
61.0000 M2 50000 p11 p1 60 N 
86.0000 M3 50000 p33 p11 60 N 
142.0000 M5 50000 p9 p11 60 N 
174.0000 M6 50000 p17 p34 60 N 
200.0000 M7 50000 p31 p1 60 N 
228.0000 M8 50000 p35 p32 60 N 
261.0000 M9 50000 p1 p23 60 N 
314.0000 M11 50000 p37 p27 60 N 
366.0000 M13 50000 p20 p33 60 N 
392.0000 M14 50000 p14 p0 60 N 
420.0000 M15 50000 p7 p0 60 N 
604.0000 M21 50000 p5 p29 60 N 
722.0000 M25 50000 p23 p16 60 N 
747.0000 M26 50000 p10 p0 60 N 
803.0000 M28 50000 p13 p21 60 N 
834.0000 M29 50000 p32 p13 60 N 
859.0000 M30 50000 p24 p0 60 N 
888.0000 M31 50000 p30 p4 60 N 
915.0000 M32 50000 p26 p9 60 N 
947.0000 M33 50000 p29 p26 60 N 
973.0000 M34 50000 p22 p23 60 N 
998.0000 M35 50000 p39 p13 60 N 
1027.0000 M36 50000 p17 p18 60 N 
1060.0000 M37 50000 p33 p39 60 N 
1144.0000 M40 50000 p3 p25 60 N 
1264.0000 M44 50000 p15 p21 60 N 
1377.0000 M48 50000 p11 p1 60 N 
1442.0000 M50 50000 p34 p16 60 N 
1467.0000 M51 50000 p5 p38 60 N 
1494.0000 M52 50000 p28 p35 60 N 
1524.0000 M53 50000 p1 p24 60 N 
1576.0000 M55 50000 p38 p8 60 N 
1609.0000 M56 50000 p36 p25 60 N 
1641.0000 M57 50000 p32 p19 60 N 
1667.0000 M58 50000 p27 p26 60 N 
1731.0000 M60 50000 p30 p21 60 N 
1817.0000 M63 50000 p16 p21 60 N 
1849.0000 M64 50000 p8 p23 60 N 
1877.0000 M65 50000 p0 p39 60 N 
1940.0000 M67 50000 p18 p25 60 N 
1965.0000 M68 50000 p13 p10 60 N 
2094.0000 M72 50000 p29 p24 60 N 
2123.0000 M73 50000 p37 p20 60 N 
2149.0000 M74 50000 p6 p2 60 N 
2215.0000 M76 50000 p26 p39 60 N 
2272.0000 M78 50000 p35 p4 60 N 
2297.0000 M79 50000 p38 p17 60 N 
2331.0000 M80 50000 p9 p38 60 N 
2390.0000 M82 50000 p11 p4 60 N 
2423.0000 M83 50000 p14 p8 60 N 
2475.0000 M85 50000 p22 p30 60 N 
2536.0000 M87 50000 p36 p24 60 N 
2568.0000 M88 50000 p31 p14 60 N 
2650.0000 M91 50000 p19 p3 60 N 
2741.0000 M94 50000 p4 p13 60 N 
2766.0000 M95 50000 p3 p13 60 N 
